cityState,state,sitesScreened,noSchema,noViewport,staleCopyright,clinicsNamed,tier,aiCheckedOn
"Great Falls, MT",MT,6,3,1,0,4,GREEN,2026-09-08
"Greenville, SC",SC,6,0,0,0,5,GREEN,2026-09-08
"Harrisburg, PA",PA,6,1,0,0,6,GREEN,2026-09-08
"Harrisonburg, VA",VA,6,0,0,0,4,GREEN,2026-09-08
"Jackson, MS",MS,6,2,0,1,6,GREEN,2026-09-08
"Kalamazoo, MI",MI,6,0,0,0,5,GREEN,2026-09-08
"Lansing, MI",MI,6,1,0,1,4,GREEN,2026-09-08
"Longmont, CO",CO,6,1,0,0,5,GREEN,2026-09-08
"Macon, GA",GA,6,2,1,0,5,GREEN,2026-09-08
"Madison, WI",WI,6,0,0,0,4,GREEN,2026-09-08
"Murfreesboro, TN",TN,6,1,0,0,4,GREEN,2026-09-08
"Nampa, ID",ID,6,3,0,0,7,GREEN,2026-09-08
"Providence, RI",RI,6,1,1,0,6,GREEN,2026-09-08
"Pueblo, CO",CO,6,1,0,1,5,GREEN,2026-09-08
"Punta Gorda, FL",FL,6,0,0,1,4,GREEN,2026-09-08
"Rochester, MN",MN,6,0,0,0,5,GREEN,2026-09-08
"Salem, OR",OR,6,1,0,0,5,GREEN,2026-09-08
"Santa Fe, NM",NM,6,1,0,0,4,GREEN,2026-09-08
"Spokane, WA",WA,6,0,0,0,5,GREEN,2026-09-08
"Summerville, SC",SC,6,0,0,0,5,GREEN,2026-09-08
"Warner Robins, GA",GA,6,1,0,0,5,GREEN,2026-09-08
"Wilmington, NC",NC,6,1,1,0,4,GREEN,2026-09-08
"York, PA",PA,6,2,0,1,5,GREEN,2026-09-08
"Yuma, AZ",AZ,6,1,0,0,6,GREEN,2026-09-08
"Billings, MT",MT,5,2,2,0,6,GREEN,2026-09-08
"Johnson City, TN",TN,5,3,0,0,5,GREEN,2026-09-08
"Lincoln, NE",NE,5,0,0,0,4,GREEN,2026-09-08
"Scottsdale, AZ",AZ,5,1,1,0,5,GREEN,2026-09-08
"Waukesha, WI",WI,5,3,0,0,6,GREEN,2026-09-08
"Allentown, PA",PA,5,1,1,0,5,GREEN,2026-09-08
"Appleton, WI",WI,5,1,1,0,5,GREEN,2026-09-08
"Asheville, NC",NC,5,1,1,0,5,GREEN,2026-09-08
"Binghamton, NY",NY,5,0,1,2,3,YELLOW,2026-09-08
"Bismarck, ND",ND,5,1,0,0,4,GREEN,2026-09-08
"Davenport, IA",IA,5,3,0,0,5,GREEN,2026-09-08
"Destin, FL",FL,5,0,0,2,4,GREEN,2026-09-08
"Dothan, AL",AL,5,1,0,0,3,YELLOW,2026-09-08
"Dublin, OH",OH,5,1,0,0,4,GREEN,2026-09-08
"Fishers, IN",IN,5,0,0,0,4,GREEN,2026-09-08
"Fort Myers, FL",FL,5,0,0,0,5,GREEN,2026-09-08
"Fort Wayne, IN",IN,5,2,1,0,4,GREEN,2026-09-08
"Greeley, CO",CO,5,0,0,0,5,GREEN,2026-09-08
"Green Bay, WI",WI,5,2,1,0,4,GREEN,2026-09-08
"Hickory, NC",NC,5,1,0,0,5,GREEN,2026-09-08
"Houma, LA",LA,5,0,0,0,4,GREEN,2026-09-08
"Iowa City, IA",IA,5,0,0,1,5,GREEN,2026-09-08
"Jefferson City, MO",MO,5,3,0,0,4,GREEN,2026-09-08
"Lynchburg, VA",VA,5,1,0,0,4,GREEN,2026-09-08
"Medford, OR",OR,5,2,0,0,4,GREEN,2026-09-08
"Meridian, ID",ID,5,2,0,0,5,GREEN,2026-09-08
"Olympia, WA",WA,5,1,1,0,4,GREEN,2026-09-08
"Owensboro, KY",KY,5,0,0,0,5,GREEN,2026-09-08
"Provo, UT",UT,5,2,1,1,6,GREEN,2026-09-08
"Rock Hill, SC",SC,5,1,0,0,2,YELLOW,2026-09-08
"San Luis Obispo, CA",CA,5,0,0,0,3,YELLOW,2026-09-08
"Saratoga Springs, NY",NY,5,1,0,0,3,YELLOW,2026-09-08
"Sioux Falls, SD",SD,5,1,0,0,5,GREEN,2026-09-08
"Spring Hill, FL",FL,5,1,0,0,4,GREEN,2026-09-08
"Tallahassee, FL",FL,5,1,0,0,5,GREEN,2026-09-08
"Tuscaloosa, AL",AL,5,0,0,1,4,GREEN,2026-09-08
"Twin Falls, ID",ID,5,1,0,0,3,YELLOW,2026-09-08
"Wilmington, DE",DE,5,1,1,1,4,GREEN,2026-09-08
"Fayetteville, AR",AR,4,0,0,1,5,GREEN,2026-09-08
"Midland, MI",MI,4,1,0,0,4,GREEN,2026-09-08
"Odessa, TX",TX,4,0,0,1,5,GREEN,2026-09-08
"Ventura, CA",CA,4,0,0,0,5,GREEN,2026-09-08
"Utica, NY",NY,3,1,1,1,4,GREEN,2026-09-08
"Alexandria, LA",LA,4,0,0,0,4,GREEN,2026-09-08
"Bellingham, WA",WA,4,1,0,0,4,GREEN,2026-09-08
"Biloxi, MS",MS,4,1,0,0,7,GREEN,2026-09-08
"Boulder, CO",CO,4,1,0,0,4,GREEN,2026-09-08
"Casper, WY",WY,4,0,0,0,6,GREEN,2026-09-08
"Cheyenne, WY",WY,4,1,0,0,5,GREEN,2026-09-08
"Conway, AR",AR,4,1,0,1,5,GREEN,2026-09-08
"Des Moines, IA",IA,4,1,1,0,4,GREEN,2026-09-08
"Dover, DE",DE,4,2,0,0,4,GREEN,2026-09-08
"Fargo, ND",ND,4,1,1,0,7,GREEN,2026-09-08
"Holland, MI",MI,4,1,1,0,4,GREEN,2026-09-08
"Joplin, MO",MO,4,1,0,0,4,GREEN,2026-09-08
"Lafayette, IN",IN,4,3,1,0,5,GREEN,2026-09-08
"Lawton, OK",OK,4,1,0,0,5,GREEN,2026-09-08
"Mobile, AL",AL,4,1,1,1,4,GREEN,2026-09-08
"Morgantown, WV",WV,4,1,1,0,5,GREEN,2026-09-08
"Nashua, NH",NH,4,1,0,0,4,GREEN,2026-09-08
"Poughkeepsie, NY",NY,4,1,0,0,6,GREEN,2026-09-08
"Rogers, AR",AR,4,0,0,0,4,GREEN,2026-09-08
"Saginaw, MI",MI,4,1,0,0,5,GREEN,2026-09-08
"Santa Barbara, CA",CA,4,0,0,0,4,GREEN,2026-09-08
"Topeka, KS",KS,4,2,1,0,5,GREEN,2026-09-08
"Waterloo, IA",IA,4,0,0,1,4,GREEN,2026-09-08
"Yakima, WA",WA,4,1,0,0,5,GREEN,2026-09-08
